SKU|PRODUCTO|CODIGO_PROVEEDOR|STOCK_DISP_VENTA|OC_PENDIENTES|TOTAL_RESERVA_FALABELLA
5984216|ZOE TROPIC 10389-14|AF5204518G1|0|1|1
6689682|POLLY GEMSTONE 10349-80-L@|10349-80|2|0|2
6689728|CLEO MIST 10529-114-M@|10529-114|0|0|0
5984210|ALLY TROPIC 10592-30|AF5007218E1|0|0|0
6689726|SIENNA CHILE 3142P2-M@|3142P2|0|0|0
6689714|LAYLA CHILE 3112P1-M@|3112P1|0|0|0
6689722|LAYLA  CHILE 3141P3-M@|3141P3|0|0|0
6689711|SIENNA RAINFOREST 10446-150-M@|10446-150|2|0|2
6689719|LAYLA CHILE 3139P2-L@|3139P2|0|0|0
6689734|ALANA SUNROSE 10459-206-S@|10459-206|3|0|3
6689710|SIENNA RAINFOREST 10446-150-S@|10446-150|2|0|2
6689735|ALANA SUNROSE 10459-206-M@|10459-206|4|0|4
6689739|WILLOW APPLEBLOSSOM 10470-2-L@|10470-2|8|0|8
5984206|MILA TROPIC 10423-21|AF5505218T1|0|0|0
6689713|LAYLA CHILE 3112P1-S@|3112P1|0|0|0
6689715|LAYLA CHILE 3112P1-L@|3112P1|0|0|0
6689692|LOLITA GEMSTONE 10311-75-XS@|10311-75|0|0|0
5984173|LOLA DUNES 10218-214|AF5200218T1|0|0|0
5984320|NINA SAVANNAH 10431-158|AF5005418E1|0|0|0
5984270|POLLY DESERT 10234-55|AF5200718T1|0|0|0
5991033|MALI DAYBREAK 10400-44|AF3000218-1|1|0|1
5984217|ZOE TROPIC 10389-14|AF5204518G1|0|0|0
6689708|LOLITA DUNES 10223-219-L@|10223-219|0|0|0
6689694|MIA PYTHON 10590-108-S@|10590-108|2|0|2
6689676|RAFAELLA GEMSTONE 10352-83-M@|10352-83|6|0|6
6689700|TINA PYTHON 10317-95-S@|10317-95|3|0|3
5984325|FRIDA APPLEBLOSSOM 10535-3|AF5006718E1|0|0|0
5984297|LUNA MIST 10636-127|AF5108018-1|0|0|0
5991120|ELISA MIST 10472-110|AF2001718-1|0|0|0
5991128|ROBIN MIST 10460-113|AF2001418-1|0|0|0
5984302|ZOE MIST 10637-128|AF5208018G1|0|0|0
5984312|LOLITA SAVANNAH 10392-154|AF5104718-1|0|0|0
6689707|LOLITA DUNES 10223-219-M@|10223-219|0|0|0
6689702|LOLITA PYTHON 10403-102-L@|10403-102|0|0|0
6689666|MIRANDA GEMSTONE 10347-78-M@|10347-78|4|0|4
6689704|MOLLY DUNES 10224-220-M@|10224-220|2|0|2
5984176|LUNA DUNES 10219-215|AF5100318-1|0|0|0
5984212|LUNA TROPIC 10388-13|AF5104518-1|0|0|0
5984425|MARTINA SKYFLOWER 10313-169|AF5101718-1|0|0|0
5991082|TRIXIE SKYFLOWER 10413-187|AF4001318C1|0|0|0
5984298|LUNA MIST 10636-127|AF5108018-1|0|0|0
6689732|WILLOW SUNROSE 10552-207-L@|10552-207|4|0|4
6689723|LAYLA  CHILE 3141P3-L@|3141P3|0|0|0
5984181|POLLY DUNES 10220-216|AF5200318T1|0|0|0
5984324|FRIDA APPLEBLOSSOM 10535-3|AF5006718E1|0|0|0
5984282|ALEGRIA MIST 10620-118|AF5207518T1|0|0|0
5984205|MILA TROPIC 10423-21|AF5505218T1|0|0|0
5984220|JULIA TROPIC 10593-31|AF5007318E1|0|0|0
6689736|ALANA SUNROSE 10459-206-L@|10459-206|2|0|2
5991043|SALLY TROPIC 10424-29|AF1000618L1|0|0|0
5984193|LARA DAYBREAK 10369-43|AF5002318E1|0|0|0
6689684|LOLA PYTHON 10402-101-L@|10402-101|0|0|0
